ts_code,entry_date,exit_date,qty,entry_price,exit_price,pnl,return,holding_days
600758.SH,20161101,20161102,3200,15.515499999999998,16.07391,1720.7775673152064,0.034653399073323134,1
300215.SZ,20161107,20161108,2900,17.062344454692457,17.238232324369644,445.62076711851114,0.009004623874635607,1
300221.SZ,20161107,20161108,2300,20.74075876089061,21.59015009680542,1889.7864248412225,0.03960929448826729,1
600758.SH,20161124,20161125,3600,13.783769999999999,13.72626,-270.85038610319316,-0.005457525815230374,1
600678.SH,20161128,20161129,3200,15.465449999999997,15.23475,-801.2753890559907,-0.016188481836768624,1
002265.SZ,20161130,20161201,2500,19.819799999999997,19.45053,-986.076089954986,-0.019897935101974153,1
002722.SZ,20161130,20161201,800,59.97892398009949,63.76293940298507,2961.80833323735,0.061717048931538405,1
603918.SH,20161130,20161201,700,64.35260831999999,64.80461052,257.8926909024667,0.005724159117537372,1
002490.SZ,20161130,20161201,4600,10.67066,10.89909,986.2154744099971,0.020089057274537313,1
300428.SZ,20161130,20161201,500,86.79318647999999,85.82341068,-540.3488319535245,-0.012449601139596249,1
000935.SZ,20161201,20161202,1600,30.1301,31.1688,1597.7893439040054,0.03313872711813957,1
601225.SH,20161201,20161202,9100,5.53553,5.544449999999999,16.057140262797475,0.0003187164343718298,1
600113.SH,20161201,20161202,2600,18.732379926918387,18.74493909866017,-30.250920812322875,-0.0006210250971823138,1
002234.SZ,20161130,20161202,1900,24.204179999999997,24.555419999999998,607.2303749040002,0.013202201925956536,2
300308.SZ,20161130,20161202,2100,23.645089023650698,23.047896285627655,-1316.7625681825375,-0.026514539102291297,2
300308.SZ,20161201,20161202,100,22.593082944208607,23.047896285627655,37.84142810134881,0.016712135973086413,1
002124.SZ,20161201,20161202,1800,27.699055108198714,27.555181636696126,-323.0327144915791,-0.006478074013345919,1
000553.SZ,20161202,20161205,3300,14.994979999999998,14.81517,-656.5665671729948,-0.013266482602494582,3
002234.SZ,20161130,20161205,100,24.204179999999997,24.1758,-17.29415554399975,-0.007124393374626724,5
002468.SZ,20161202,20161205,1600,30.94525308584687,30.643553150812075,-546.0776009798574,-0.011027503380830089,3
600740.SH,20161205,20161206,6300,7.717709999999999,7.8921,1034.6378718438064,0.021276305835837627,1
600113.SH,20161205,20161206,2800,17.720631064555416,18.09511454323995,983.3061132437724,0.019814740185737256,1
300184.SZ,20161201,20161206,3300,15.06505,15.32466,791.5600313477917,0.01591974833283696,5
300184.SZ,20161205,20161206,100,14.714699999999997,15.32466,54.24071344360004,0.03673675282504897,1
002265.SZ,20161205,20161206,2600,18.70869,19.23075,1293.0134241023989,0.026578053121146538,1
002515.SZ,20161205,20161206,1700,28.346870656312625,28.273201503006014,-187.29735261268797,-0.0038861043087852253,1
601225.SH,20161205,20161207,9200,5.41541,5.4445500000000004,203.4709887072022,0.004083383632489658,2
000011.SZ,20161206,20161207,3100,16.020359964200477,16.249795990453464,646.3318637188495,0.01301243164388203,1
000755.SZ,20161206,20161207,5900,8.5085,8.62137,600.3718867218049,0.01195782493359459,1
600149.SH,20161206,20161207,1900,25.725699999999996,26.11386,673.5664691544007,0.013778327894257944,1
002355.SZ,20161206,20161207,3500,14.211018937499997,14.292568124999999,220.89269235640677,0.004440429142635844,1
002703.SZ,20161207,20161208,1300,36.97611902173912,37.23288794466403,271.3698589775231,0.005644608023414036,1
600623.SH,20161206,20161212,3200,15.081319853749765,14.920656702449971,-575.8275052592435,-0.011929986021099133,6
600623.SH,20161206,20161213,100,15.081319853749765,13.575186986347484,-164.20712433108883,-0.10836119764989782,7
300428.SZ,20161212,20161213,600,81.63715559999999,74.52118422,-4327.9187920978875,-0.088343956710757,1
300292.SZ,20161212,20161213,200,37.88415017849368,35.245172311710924,-540.9462789060835,-0.07138442253599014,1
002027.SZ,20161209,20161213,200,31.329189085810427,28.892424699943916,-499.042414931906,-0.07963338331976959,4
002562.SZ,20161209,20161213,1800,27.874019870967732,25.082425965260544,-5083.877158014664,-0.10131174503613431,4
603223.SH,20161213,20161214,200,32.076003959999994,32.1820857,8.113264193334544,0.0012643652445052005,1
300398.SZ,20161213,20161214,100,59.77799917114351,58.715899155794325,-118.74825811716528,-0.019859339700846152,1
300465.SZ,20161213,20161214,100,58.6551966,57.57836399999999,-120.10776306666776,-0.02047110086154444,1
002194.SZ,20161213,20161214,600,13.27641233873635,13.279885782335425,-12.88386530995649,-0.0016169819347587584,1
002495.SZ,20161213,20161214,1000,8.64373904346562,8.5424447884867,-116.92003310074142,-0.013523298074512387,1
000025.SZ,20161213,20161214,100,55.305249999999994,55.70424,27.661909333333824,0.005000171902937894,1
300025.SZ,20161213,20161214,400,20.223541729893775,20.62363998482549,144.7898459787566,0.01789425158670557,1
300418.SZ,20161213,20161214,300,21.32767625031798,21.465615415924702,28.275398390572263,0.004418052024476883,1
002703.SZ,20161213,20161214,200,32.22735326086956,32.26315909090909,-5.95813247694241,-0.0009241516323114225,1
300308.SZ,20161213,20161214,300,21.450904915100057,21.30805509096422,-55.914030434707456,-0.008686432774125206,1
002248.SZ,20161213,20161214,700,11.22121,11.39859,109.2425425555557,0.013904218194922479,1
600570.SH,20161213,20161214,100,47.64169563369342,47.04475028171998,-70.64901022551658,-0.0148253494337789,1
000953.SZ,20161213,20161214,500,14.34433,14.49549,61.546540714285584,0.008579169716307922,1
300292.SZ,20161212,20161214,400,37.88415017849368,35.405377640400516,-1013.2751161358756,-0.06685520354593165,2
600714.SH,20161213,20161214,500,14.274259999999998,14.40558,51.67149571428581,0.007238003330237639,1
300299.SZ,20161213,20161214,400,20.05885492479379,20.06882423580786,-11.03980528869397,-0.0013755837711739527,1
300056.SZ,20161213,20161214,500,16.103443562058526,16.482580973763874,174.24408203245912,0.02163500104090231,1
000409.SZ,20161213,20161214,600,12.8128,12.84714,6.020715999999993,0.0007829732669835893,1
002027.SZ,20161209,20161214,500,31.329189085810427,29.254586012338756,-1059.5318377951935,-0.06762740013643215,5
002766.SZ,20161213,20161214,200,33.87506122,33.5668995,-75.01239056666691,-0.011069196512851669,1
300302.SZ,20161213,20161214,100,47.964905050505045,49.2547547107438,117.80949055280053,0.0245552026894294,1
300300.SZ,20161213,20161214,300,21.023479396532313,20.971464197252875,-28.562665709673638,-0.004527496669049918,1
600714.SH,20161213,20161215,400,14.274259999999998,14.3856,31.559537777777223,0.00552520052780006,2
000409.SZ,20161213,20161215,400,12.8128,12.7872,-22.354879999999866,-0.004360124202281177,2
002027.SZ,20161209,20161215,900,31.329189085810427,28.59062360628155,-2502.728915370564,-0.08873805433156357,6
002194.SZ,20161213,20161215,400,13.27641233873635,13.53988354614621,92.75030732326377,0.01745793772079595,2
300018.SZ,20161214,20161215,200,22.366594249999995,22.10109553125,-64.18662952291652,-0.014343427321464932,1
002495.SZ,20161213,20161215,600,8.64373904346562,8.472424749236808,-115.01488852968669,-0.022167757420377937,2
600667.SH,20161214,20161215,800,7.583909736456808,7.418781698389458,-145.259678034814,-0.02393331703761841,1
300299.SZ,20161213,20161215,200,20.05885492479379,20.128880567685584,3.3126857981555986,0.0008253985948464842,2
603223.SH,20161213,20161215,100,32.076003959999994,32.091995880000006,-7.860007587999007,-0.0024494777312762603,2
300418.SZ,20161213,20161215,200,21.32767625031798,21.54586070719919,32.66105256813444,0.007653974010482475,2
002474.SZ,20161214,20161215,400,13.50349,13.09689,-174.87875599999916,-0.03236460107680414,1
